Abstract,predict
first quickly check two table scan operators can actually merged,0
need wrapper not item provider handle draganddropcommand move add remove etc commands that implement will have their values unwrapped usual,0
note compressed flag may change fly,0
some files have crazy ordering their continue records check that dont break them bug,0
sasl kerberos properties,0
check partitions exist desttable,0
filter cannot parse quoted date try parse date here too,0
seek force underlying buffer flush,0
should cause foo bar and foo get deleted when checkcontainers called,0
constructor param vector tag handler pool names populate,0
add rows corresponding grouping sets each row create rows one each grouping set key since map side aggregation has already been performed number rows would have been reduced moreover rows corresponding grouping keys come together there higher chance finding rows hash table,0
remove character too,0
load list partitions and return list partition specs todo follow hive should refactor use utilities getfulldpspecs get list full partspecs after that check number dps created not exceed limit and iterate over and call loadpartition here reason dont inside hive latter large and,1
counters debugging cannot use existing counters cntr and nextcntr operator since want individually track number rows from,0
equation circle,0
test from server client too,0
when there are live nodes cluster and this timeout elapses query failed,0
must unitpixel value unittype enumeration,0
partial partition spec supplied make sure this allowed,0
store all cluster elements,0
todo urlencode ?,1
these are objectpool under root,0
see mouselistener mousereleased mouseevent,0
retrieve content file using provided encoding,0
output columns destination table should match with join keys this handle queries form insert overwrite table select key key udf value value from join key key and key key where and are bucketized sorted key and key assuming table which mapper run following true number buckets and should same bucketing sorting columns and should same sort order should match with sort order partitioned only single partition can selected select list should contain with key key key key,0
well treat this aggregate col stats part part tab col,0
todo try join foo split,1
when overwriting just start with empty timeline,0
file was removed,0
typical user math when non terminating result would otherwise occur,0
workthreadlistener class,0
need start collection here,0
see org argouml application events notationremoved org argouml application events argonotationevent,0
utilundertest null,0
single identifiers window window,0
getlineinfo method,0
this set zookeeperstorage create,0
note that calls below will throw exception java securitymanager installed and configured forbid invoking setaccessible practice this not problem hive,0
handle case where exponential number ends without actual exponent,0
revision introduced classcast check but then used iter next fetch item cast thus skipping element that did not cast reverted work more like original code but with check place added warning message can track whether necessary,0
keep track oldest modification timestamp,0
output fields,0
trying get second txn second txnlog give,0
initialize resolver,0
connection set relied heavily four letter commands,0
handle property ref,0
add cell table,0
used cleanup cache,0
check timeout wasnt too long,0
put specified objects into scheduler context,0
initialize flags,0
looking first extension,0
fixme should put exception future ?,1
there should only one columnstatistics,0
non javadoc see java sql callablestatement setint java lang string int,0
see rules start end sequence matches here,0
private static final stringmanager stringmgr getstringmanager tablecopycommand class,0
operator specific logic goes here,0
windows should persisted state,0
must public class,0
split gzip magic into readable bytes,0
check filter only called once,0
only first stripe will satisfy condition and hence single split,0
need separate protocol from authority otherwise http server would match https erver could use separate fields but simpler combine them,0
note definitions what odbc and jdbc keywords exclude are different different places now just return odbc version here that excludes hive keywords that are also odbc reserved keywords could also exclude sql,0
theres author may double padded,0
optimization have writable channel write now,0
this constraint that dropped drop constraint test,0
emit message each partition and revoke first partition,0
define filter select only names using filebase,0
not right host,0
same primitive category,0
dont append,0
index first throws clause child node,0
add path list paths searched when looking xmi files resolve external references with list maintained static structure shared all instances todo its desirable have separate search paths separate files but more work required argouml that knows how maintain separate contexts profiles and user models param path directory path add search path,1
graph unit unit,0
there should only column sourceoperator,0
dag scratch dir get session from pool may different from tez one,0
report sax parsing errors checkstyle visibilitymodifier,0
make mockinstance here setting instance name same this mock instance,0
invoked method threw checked exception must rethrow client wont see interceptor,0
join from multiple relations,0
was other,0
determines should cache table its partitions stats etc,0
need treat this where optimistic lock all dirty does not make sense first need locate loaded state note potentially could proxy perform location safe way,0
non javadoc see java awt datatransfer transferable java awt datatransfer dataflavor,0
array dashedlinedatasize floating point values that specify lengths dashes and spaces dashed line,0
view path view path,0
error staleupdaterow this row database has been changed since you refreshed data nno rows will updated this operation ndo you wish proceed ?,0
this most common extension case exe windows and nothing nix,0
link slide and notes slide with each other,0
start implementation documententry,0
set first assignment,0
map types assignable forms need keep this fast,0
mmsql catalogerr dbname sessions url set but sessions current catalog set nsql server doesnt support this most cases this current issue,0
entries jaas conf theres configuration exception fetching jaas section and user has required sasl specifying login context name key jaas file,0
get offset persist pointers this will byte offset disk where preceding,0
top label separator,0
ignore token class name parameter and use specific token class,0
other one doesnt have notes,0
this sel sel,0
output type boolean ?,0
dsttype null type merge srctype dsttype srctype top srctype not array type reference type,0
are unsecure mode,0
create connector server now,0
setmodeabbrevs method,0
hive has concept avros fixed type fixed arrays bytes,0
annotation types,0
dear this isnt allowed word file seems corrupted switch using nil style that theres chance can read,0
called testaction and accesslogsampler,0
prefix identified implementation specific class todo this should generalized doesnt have changed each time new implementation created tfm,1
return lowsurrogate,0
todo remove when dict results are deprecated,1
then bind,0
that case handled above already when params and args have same length,0
this should only called specific host,0
generate public boolean hasproperty string name return getasdynamicobject hasproperty name,0
fixme this attribute not used deprecate ?,1
gzip handling backwards compatibility with tomcat,0
provided agent plugin container,0
take what all input formats support and eliminate any them not enabled hive variable,0
resource found with default locale try without any locale,0
skip padded values,0
removed cut sql,0
handlers,0
column indexes corresponding data storage layer,0
check compaction set this table,0
generate authentication token which must provided client any requests makes,0
target project component has not been modified from requested,0
ast specific data,0
add groovy ant bring groovydoc groovy,0
actually ordered iteration order predictable,0
alters and replacements are not undoable theyve taken effect already they are retriable though creates are undoable but cannot differentiate between creates alters and replacements from command level,0
note adjustments end feb,0
display cookie headers table same location http protocol,0
try multi part netware volume length path with unix separator this testcase from actual bug that was found availabletest which uses pathtokenizer,0
hide window esc non nls,0
start our defined container first,0
only release cache chunks not release proccachechunks they may not yet have data,0
get operationlog object from operation,0
state that was prior invocation,0
should have added more blocks chain,0
execute synchronized block required,0
link area defines dog leg point linking lines labels,0
starts with then could date but,0
changing overwritten record shouldnt affect series,0
lefts signum wins dont need anything,0
can invalidate entry now but calling removeentry requires write lock and may already have read lock taken now add entriestoremove delete later,0
hit database after checking session cache snapshot,0
determine parameter might passed bit int parameter this just applies buffer pointer types,0
need set null data entries because input nan values will automatically propagate output,0
special case handling multi and multi and,0
external file attributes,0
test attempting access special paths web inf meta inf using webdavservlet,0
performance optimization build sheet cache first time this called avoid creating xssfevaluationsheet each time new cell evaluated evaluationworkbooks make not guarantee synchronize changes made underlying workbook after evaluationworkbook created,0
queuedbuffer has reached its component limit combine existing components,0
get late possible minimize time own target,0
according,0
prepare prefix and suffix,0
retrieve current state information,0
extension type two byte,0
need make sure that all field associated with union are settable,0
add result subsample transaction are transaction,0
check that setting second sheet causes new print titles built,0
groovy there can multiple matches getter returning generic parameter type due generation bridge method real getter really non bridge non synthetic one has most specific and exact return type two picking bridge method results loss type information down casts return type lower bound generic parameter,0
sorted columns cant all found values then data only sorted columns seen until now,0
todo johngiorgi write tests using binary format file,1
block until all semaphore resources are released outstanding async writes,0
gets min max task pairs executors,0
todo author javaprog sizecombobox can enabled paragraphcombobox when implemented,1
generated jjtree not edit this line astdotsuffix java,0
find target object class identifier,0
maximumbarwidth,0
this just tests that function does not blow,0
globtore method,0
make path ensure slash end,0
only main range,0
todo buckets not same splits,0
not sure what good value this but spec says need provide upper bound,0
default seconds same send timeout,0
there point trying validate further have type info about target field,0
get parent object,0
columns now,0
spill previously loaded tables make more room,0
partition can archived during recovery,0
perform operation called from poller continue operation,0
regexes look log files,0
contains reference cell where hyperlink anchored getref what hyperlink refers,0
add attribute transactional method method names can exact matches pattern xxx xxx xxx matching multiple methods param methodname name method param attr attribute associated with method,0
sqlval version version,0
save charset,0
set properties again,0
target tmp org apache hadoop hive testtxncommands export metadata delta bucket,0
might not have all formatting should !,0
fill hashmap with all available contacts and groups,0
assert assertequals comparing parameters totalsize createdtable getparameters get totalsize assert assertequals comparing parameters numfiles,0
last function name replicated null function replication was progress when created this state,0
lets this stages return quickly first check actual string,0
msg files with non standard encodings,0
set ruby,0
just last one,0
only this table has spilled big table rows,0
not processed web application jars nor caller did not provide deque urls append,0
customized com alibaba dubbo rpc protocol http was firstly introduced main purpose support transformation attachments httpinvokerprotocol see https github com apache dubbo pull guarantee interoperability with lower versions need check provider higher before sending customized,0
shutdownable via,0
todo should these fields public ? they dont appear used externally also are they any different from httpconstants get etc ? some cases they seem used method name from tomcat log however rmethod field used value httpsamplerbase method which httpconstants most approriate,1
note this code tries get all key value pairs out map its not very efficient more efficient way should let mapoi return iterator this currently not supported mapoi yet,1
store nested member elements,0
called one more times client and,0
not elements,0
are only interested exprnodecolumndesc,0
only marker interface,0
jfreechart,0
set fonts,0
checks given uri and qname see they hijack jsp prefix which would case qname contained jsp prefix and uri was different from http java sun com jsp page param uri uri check param qname qname check,0
addmethod will ignore attempts override abstract static methods with same signature self,0
todo projectdependency should transformed based defaultproject and other context elsewhere,1
check now,0
launch task,0
use adaptablejobfactory default local scheduler unless when explicitly given null value through jobfactory bean property,0
localize non conf resources that are missing from current list,0
not authorize dummy readentity writeentity,0
size message,0
note this method not called left and right are both bigintegers bigdecimals because those classes implement method with better exact match,0
toggle marker caret line,0
should convert datetime format hive understands default either yyyy seconds since epoch ? date dateparser parse rdatetime rdatetimeepoch gettime,0
this only used testing purposes can test handling fluid dependencies without adding dependency substitution rule,0
mri extends order from last first,0
determine full path uploaded war,0
fire updates,0
savegeometry method,0
sethypersearch method,0
string construction routines not byte buffer and making target string shared,0
gracefully handle records that dont know about that happen continued,0
however all bats can contain blocks,0
maxcapacity should calculated based percentage memorythreshold which divide row size using long size,0
this safe inside iterator per http download oracle com javase docs api java util map entry html,0
this services getservicesfornext,0
convenient methods registering individual beans,0
non javadoc this provides lazyfloat like class which can initialized from data stored binary format see org apache hadoop hive serde lazy lazyobject init org apache hadoop hive serde lazy bytearrayref int int,0
supplied ast was null,0
bind rmi object registry,0
there data read use read timeout while,0
run hive metastore server,0
last try get port just use default,0
note hierarchical authority ! null,0
commit that will used python environment creation and later compilation,0
extract host name,0
set top left corner picture,0
filter will executed constant,0
check see message diffable,0
check exact match simple case there are templates,0
verify that catalina home was passed,0
other files containing ole native records,0
row resolver subquery set semanticanalyzer after plan subquery genned this needed case subquery select list contains tok allcolref,0
note observed behavior excel error values like value ! ref ! div ! name ? etc dont cause this counta return error fact they seem get counted,0
pattern does not contain all date fields,0
icons signs column,0
try deserialize using deserializeread our writable row objects created serde,0
assumption that method parameters present will last child,0
task has been terminated and duck accounted based local state whatever were doing irrelevant metrics have also been updated,0
setcolumns error conditions,0
todo least parsersupport attrset passes argsnode null implicitnil wrong magic setupargs since will irubyobject nil need figure out nice fast null pattern setupargs assert argsnode ! null receivernode not null,1
count distinct count distinct find correct mapping,0
needed javax annotation security which part javaee xxx should this dependency scope provided scope and only used detected runtime ?,1
update property before offering,0
this type output might happen change renamed change and submitted,0
encoded ptg size unknown int,0
make sure this setting exists configuration file facilitate changing,0
singletonholder idiom lazy initialisation,0
asserttrue spelnodeimpl spelexpression expression getast iscompilable assertcancompile expression,0
karlpeder tags are stripped model contains html message since are composing plain text message here,0
confirm evaluation result too,0
this should never called,0
search packs beginning from newest oldest most cases this should save lot uid fetchings find deleted messages,0
https opensource atlassian com projects spring browse spr,0
two consecutive colons initial expansion,0
check dependencies count,0
should set foo bar should set blah should ignored,0
write and read,0
when reading into heap buffer jvm allocates temporary direct bytebuffer requested size avoid allocating huge direct buffer when doing ludicrous reads more split read into chunks more than,0
adds database name dbname filter,0
always trigger file mode commands are big enough,0
create database and table,0
not ? ? ?,0
not always allow but always return true because later subq remove rule will generate diff plan this case,0
since have open transaction only values above are expected,0
only add confs they are specified they arent endelement will handle this,0
read state,0
now suck digits mantissa use two integers collect digits each this faster than using floating point mantissa has more than digits ignore extras since they cant affect value anyway,0
may not idempotent but safe retry,0
editable text,0
xxx expose this api better from bqlfn,1
other fields are skipped this case,0
non nls maintain original default,0
bit unsigned integer that specifies number focus scales this value must,0
todo update ooo document include this value,1
add okbtn add closebtn,0
also initialize paritioned table test against,0
rel offset word big value len next value small len value bytes and beyond records have relative offset word beginning,0
can only match once,0
and little shorter,0
menuitems use this display string statusbar,0
configure actions will using,0
ctworksheet gettableparts defines which sheet table,0
check set,0
just make sure are good when admin made some mistakes config file,0
add path characters,0
set destination directory relative from project needed,0
handlerstart handlerend rangestart rangeend rangeend handlerend,0
same return one them,0
elvis has left building,0
one object resources extent should root object,0
return memberpersister getpropertytype propertyname,0
bgen jjtree constvalue,0
advance next response chain,0
get all files from src directory,0
compact ttp running worker explicitly order get reference compactor job,0
non hex character,0
present java onwards fixed java from early access build,0
partspec ordered hash map number dynamic partition columns number static partition columns path name corresponding columns root path columns paths start from number buckets each partition,0
default need this different user,0
create with createmode,0
act assert,0
todo cant have global current language setcurrentlanguage oldlanguage,1
skip this table try next,0
done separately like with setting,0
assert false,0
fixme have lot sends but trouble with one node stops correct replication other nodes !,1
tls ssl channel slightly different,0
add entity this info being collected,0
fragments use same value conflict,0
placeholder tattrif,0
dummy dummy dummy which holds patterns include and exclude,0
walk over all sources which are guaranteed reduce sink operators join outputs concatenation all inputs,0
verify circular refs are still detected properly,0
digits digits,0
required testbug does not impact other tests this class,0
list registered applications,0
microseconds maps nicely java localdatetime,0
logger with int base,0
have not seen this node before add its dependencies head queue and leave this node queue make sure has been configured,0
structuralfeature,0
must read write primitive string,0
handling one bit field,0
ensure that throw out any exceptions above highwatermark make link iswriteidvalid long faster,0
update last field that used,0
only attachment,0
qualified table aliases etc,0
todo switch buster once https github com docker library php issues resolved clean way either php image php itself,1
simple container registration and registration without any task attempt being involved,0
start valves our pipeline including basic any,0
need make sure remove duplicates cant just compose iterators from source collections,0
fastica point clouds xxx still buggy ! ! !,1
register custom datatypecomponent factory derby clob type,0
while last previous sample failed should not run,0
write custom properties back document summary information,0
totally empty case,0
copy moved block its new location,0
needfullrepaint method,0
remove any null elements,0
float types require conversion use,0
todo clean this one,0
serialize worker this consumed,0
should have only one more lookup,0
user not admin user allow request only user requesting privileges themselves role they belong,0
getdefault method,0
all commons attributes make sure they are compatible with each other,0
searches type classifier with name definenew true new type defined type classifier not found newly created type added currentnamespace and given name todo move model subsystem tfm param name type classifier found param definenew true define new one return classifier found classifier,1
should propagate error message properly ?,0
int mark,0
finished with concat expression,0
todo review priority public system has been reversed from original implementation,1
entry fallback locale that isnt already filenames list,0
know min and max now and they are valid,0
session should idle least second maxidlebackup eligible persistence thus need wait,0
set values recorder,0
value resets defaults,0
todo bob says coding use side effect here maybe this should done clearer way but fixes http argouml tigris org issues show bug cgi ? seems that when loading xmi that not contained zip file then inputstream given argument this method cant reused end stream that case systemid appears none null this stage systemid not null recreate inputsource,1
todo consider with following modification,1
remove type insert enum,0
grab contents,0
setter ?,0
create new search folder but use old search folder,0
parameters test case,0
ssn format,0
names cannot blank and must begin with letter underscore and not contain spaces,0
isplainview method,0
protoc insertion point builder implements org apache dubbo common serialize protobuf model pbresponsetype,0
should come back signed,0
class setgenfeature override javajetinc,0
import needed classes,0
non javadoc see org xml sax contenthandler enddocument,0
max decimal with round,0
currently use single header hold attachments that total attachment size limit about,0
target converted uri,0
formula internal quotes become double double surround with double quotes,0
first time are configured just tell which machine are,0
this returns either eattribute ereference,0
reader schema always comes without acid columns,0
check are already current schema level,0
perhaps here would want guard with property parallel backups not,1
not call default constructor,0
identity contains,0
look file which can move existing file with external services its possible service marked complete after each fragment,0
write methods property type potentially more specific,0
attributes set ant build file,0
build http request while assembling uri,0
create formatter that includes all input patterns,0
append string model getfacade getbody,0
non nls jmeter properties,0
from element represents join fragment and theta style join convert its type from join fragment from fragment,0
done capturing topology information,0
must concatenated represent entire embedded emf file,0
number reducers child more specific than that parent assign number reducers child parent,0
cached resolved executables,0
take length from file,0
there are columns projection only join ? just assume weight,0
reason poll here that blocking queue causes query thread spend non trivial amount time signaling when element added wed rather that time was wasted this background thread,0
call check existence side file mock mocktbl,0
non javadoc see org apache jmeter gui jmeterguicomponent getlabelresource,0
new script content,0
write simple script,0
assert bucket listing expected,0
classifier role must return sent messages other cases returns empty list todo must incoming messages sent ones ?,1
move into cache,0
staging area results avoid new calls,0
lefttree ! null,0
expect comma upcoming value closing bracket end array,0
check has content types rels and xml,0
remove disabled items gui runs this done start java,0
hivemetastore deletedata flag indicates whether dfs data should removed drop,0
this will trigger compilation second usage,0
use name class constructor from class definition,0
invalid cookie ignore and skip next semi colon,0
copy original stack trace,0
zookeeper outputarchive writerecord can block long periods time must call outside node lock call tree serialize which calls our modified writerecord method that blocks until can verify that separate thread can lock datanode currently being written that datatree serializenode does not hold datanode lock while calling outputarchive writerecord,0
throw new property attribute doesnt exist metamodel,0
move result getcolumns forward match columns query,0
sort with respect priority and synchronize commands with higher priority will processed before commands with lower priority there command that type synchronize dont put this command front,0
from protected stream,0
irubyobject family args,0
new collection was allocated continue populate,0
this means that there are available workers,0
pretend add trailing zeroes even when would exceed hivedecimal max precision,0
index get requests make sure there are ordering artifacts when requeue,0
has existing bean definition bean marked framework generated bean ?,0
todo add stripped symbols installation,0
function objects tested,0
clear status bar message now are done with delay,0
create elcontext jspcontext,0
really broken,0
bgen jjtree trystatement,0
implementation adapted from taskdefs checksum thanks magesh hint,0
originally called resulttype grammar,0
dont visit multiple times,0
class doesnt exist property test null,0
persist changes exit,0
use protected fields fasthivedecimalimpl class can access them other classes including hivedecimal should not access these fields directly,0
doc page signed bit integer that specifies either position data stream picture binary data name ole object storage,0
todo need track version implementation tool,1
and requests delete file will fail,0
listwebapppaths,0
note cant use joinpointmatch getclass getname key since spring aop does all matching join point and then all invocations under this scenario just use joinpointmatch key then last man wins which not what want all using expression guaranteed safe since identical expressions are guaranteed bind exactly same way,0
register cleanup,0
not overloaded dont worry about arg type matching,0
sets database password used when creating connections param password password used when authenticating database since void setpassword char password,0
image compressed according type field this value undefined and must ignored,0
second visit node,0
check this can continued then,0
planner gives subset virtual columns available this table scan and only support some virtual columns vectorization create intersection note these are available vectorizable virtual columns later remember which virtual columns were actually used query just those will included map that has information creating map vectorizedrowbatch,0
defensive check,0
convenience alternative prepare use tests,0
because that monotonically increasing give new unique row ids,0
references xlsx file,0
find documents and then their slwt,0
apostrophe only escaped value attribute opposed element content and builder configured surround attribute values with single quotes,0
replace container based task management with distributed library,0
more english friendly method keep code clean !,0
add first point twice,0
structural match route,0
checkstyle visibilitymodifier off checkstyle constantnamecheck off,0
element key long hash table hashmultiset,0
return value null validate value segment char segment char true true,0
remove some refs will work order test multiple iterating threads removing collected references,0
ignore close send event threads,0
should return null since alignment isnt set,0
changes series title but only there was one already todo add records not,1
avoid possible npe,0
removing base from path yields change path not child base,0
check response sufficient length trigger compression,0
throws exception not initialized,0
statistics object that combination statistics from all,0
owner parameter set delegate owners adapter,0
get all driver run hooks and pre execute them,0
virtual components have source,0
any filters are present join tree push them top table,0
keep dynamic partition context conditional task resolver context,0
that long see abandoned session,0
add new invoke,0
avoid copy,0
todo this should not need know about projectsettings tfm,1
looks like left over cached result from before change,0
return caller since long polling timeout has expired,0
package access test code only,0
collist output columns used child operators they are different from input columns current operator need find out which input columns are used,0
abc def evaluates abc def,0
only use method proxy public methods not derived from java lang object,0
tags plugin likes call this method times other than startup need fire notify search bar and,0
name shouldnt selected only timestamp has changed !,0
there attribute ?,0
ensure that file handles are closed use revert not write file,0
simple expansion top columns containing area top being shifted down,0
null out prev and next allow,0
its been overriden use that value,0
add formula that refers one existing external workbooks,0
authoritative result means dont remote search,0
set width column converting required image,0
example jar file jmeter lib ext apachejmeter core jar ! org apache jmeter util jmeterversion class using ide file workspaces jmeter build core org apache jmeter util jmeterversion class,0
install samba,0
file pattern,0
ignore too bad sad they dont follow conventions well just leave listener attached,0
start exclusive infinity,0
array null ? templist size,0
intended crash after reading bytes,0
just use default parent were not dealing with parent itself and theres class name specified latter has happen,0
tez merge file work will become tez merge file,0
calculate average time item,0
must not able set empty exit message,0
todo hold lock entire recursive traversal ?,1
now color should equal those two columns and rows,0
groovyclassloader should able find classes compiled from java sources,0
not static,0
create change value button,0
fix filenamecompletor work mid line,0
loop methods get override value and set new value back method,0
servers without any authentication configured,0
this dockerfile builds recent curl with http client support using recent nghttp build see makefile how tag docker and that image found tests use this curl binary integration tests,0
reader creation updates hdfs counters dont here,0
get list partitions that need update statistics todo should reuse partitions generated compile time since getting list partitions quite expensive return list partitions that need update statistics throws hiveexception,1
this sometimes causes exceptions,0
toolbareditdialog class,0
objectsequal method,0
node topologyid double,0
build formatter and cache,0
normal path element found,0
wrap errors model,0
check whether got absolute file path without file prefix backwards compatibility well consider those straight file path,0
merge maps,0
happens when part just rather than denoting some directory,0
will advised,0
again above standard inspector picks non void return types indexed write methods default,0
available load cached instance,0
its container step into and return,0
set details from actual response needs done before response can stored,0
undone need copy object ?,1
string after last match,0
needed visualizer interface,0
fill high long from lower long,0
non javadoc see com miginfocom calendar datearea activitymoved com miginfocom calendar datearea activitymoveevent,0
file should moved archive,0
purpose,0
bit unsigned integer that specifies value linecap enumeration that indicates line,0
special handling boolean property,0
printing content,0
must unsettable feature null and considered set,0
parses directive with following syntax xmljspdirectivebody ? page ? ? etag include ? ? etag translation error tag ? ? etag include ? ? etag attribute ? ? etag variable ? ? etag translation error,0
informixplugin showproceduresource show procedure source,0
non javadoc see java sql statement getgeneratedkeys,0
assume type,0
default name model name java interface,0
cant equal otherwise wouldnt have been collected,0
empty delimiter,0
max axis value,0
case length handled already have now two cases argument wrapped vargs array argument array that can used vargs part directly test only wrapping part since non wrapping done already,0
random warp todo change masks have input mask and warped target mask,1
short term goal not shoot anyone unless really need heap should limit memory usage most cases reasonable amount someone using way more than they requested this bug and should not allow,0
now truncate current position,0
merge file always wins even class path,0
validate resultset columns,0
all crop values are zero default then crop rectangle set return null,0
read module name index module flags and module version index fields and visit them,0
vectorized row batch being created,0
graph refreshtable refresh table,0
transactional properties default,0
check semantic conditions,0
corrupt all snapshot snapshot directory,0
add new connections atomically,0
now read first response,0
focus name textfield,0
decimal addition subtraction,0
encrypted files objectpool storage must not present and file contains ole objects storage objects ole objects must stored data stream specified sprmcpiclocation,0
prefix jcc sqlexception class name,0
note plugins that depend other plugin artifacts plugin realm contains more than one plugin descriptor however only first descriptor interest,1
lets call real save method,0
save header and attributes copy flags !,0
getting called,0
batch statements,0
turn floating support,0
try declaredfield,0
compatible variant found,0
report our failure process this custom page,0
fill length can not less than because default hessian reads bytes from stream each time refer hessian input readbuffer more details,0
window should always present shouldnt have got this far,0
note this whole logic replicated from calcites reldecorrelator and exteneded make suitable hive should get rid this and replace with calcites reldecorrelator once that works with join project etc instead join project this point this has differed from calcites version significantly cannot get rid this reldecorrelator replaces all correlated expressions corexp relational expression relnode tree with non correlated expressions that are produced from joining relnode that produces corexp with relnode that references todo replace code corelmap constructor parameter with relnode make link currentrel immutable would require fresh reldecorrelator each node being decorrelated make fields code corelmap immutable make sub class rules static and have them create their own correlator,1
connecting peer observer,0
setup links sheets,0
force all text lower case make matching faster,0
note this test split using two base classes this because single test takes long run dominates time taken run tests when running tests using multiple threads example system with cores tests take minutes per connector with this test single test and minutes per connector with this test split two,0
idea doesnt like result file touri use absolute path instead,0
set host name conf,0
sine arctan formula sat sin arctan value this guide,0
this makes jars available sqoop client,0
mandatory attribute name will checked validator,0
try turn into,0
joiner should have following format server server spec client spec,0
this may null should default which most restrictive,0
shortcut key putvalue accelerator key keystroke getkeystroke,0
static method args void return,0
this would lock test suite,0
important ! not add any drools jbpm kie dependencies here,0
ignore well throw,0
notused guipackage guipack,1
ecore ecorefactoryimpl,0
table which show locks being executed,0
lose index info ?,0
extra care taken since alloffenders can reset while this method running,0
does this hssfpatriarch contain chart ? technically reference chart since they get stored different block records fixme detect chart all cases only seems work some charts far,1
have everything that need except version org apache maven plugins maven remote resources plugin ? ? ? process groupid artifactid ? ? ? goal,0
milli seconds second,0
add jar file,0
this can lead will add,0
get max split size,0
jdk dynamic proxy,0
all values are null none qualify,0
number variables this scope representing required arguments,0
parameters form key colx coly,0
default not push remote cache,0
could not identify which table edit just return,0
zero one repeat operator stingy matching operator ? ? depending plus not available limited ops set stingy matching stingy ops set and follows quantifier,0
apply transaction name any weblogic transaction,0
spin until resolves extremely rare,0
now all column values should always return null !,0
simplicity just check object identity,0
outputformat,0
implementation notes since only local file systems are supported there need use hadoop version path class java nio package provides modern implementation file and directory operations which better then traditional java are using here particular supports atomic creation temporary files with specified permissions specified directory this also avoids various attacks possible when temp file name generated first followed file creation see http www oracle com technetwork articles javase nio html description nio api and http docs oracle com javase tutorial essential legacy html description interoperability between legacy api nio api avoid race conditions with readers metrics file implementation dumps metrics temporary file same directory actual metrics file and then renames destination since both are located same filesystem this rename likely atomic long underlying support atomic renames note this reporter very similar org apache hadoop hive common metrics metrics org apache hadoop hive metastore metrics jsonreporter would good unify two,0
cannot mock urls they are final and they cannot subclassed,0
initialize loadtimeweaveraware beans early allow registering their transformers early,0
keep value twoago around can restore after unread,0
check see need build and start doing work !,0
ignore exception and fall through default currentstateid,0
advice declared first has higher precedence,0
sos not ready write data call isready will register socket with poller which will trigger call onwritepossible when socket ready have data written,0
helper part assumes that summary likely based helper and will change when helper set,0
todo versionselector should more descriptive can directly translated,1
base null method must static base non null method may static non static,0
this method optimizes avoiding unnecessary creation classreaders well visiting over those readers,0
not same due fallback raw finalfactorybean instance with repeated getobject invocations,0
todo release profile rather than package ?,1
jsp config was added servlet,0
key shouldnt iterator,0
moment are only supporting gpg let code hard here gpg driver,0
list checkliststatus indexed model element itself todo should use weak references that this forgotten about when object removed,1
characters use escaping,0
cedric not used right now,0
lookout timeout,0
lexicalhandler methods,0
count available free threads,0
character set decoding constant can optimize that,0
warning could large,0
currtask roottasks remove and add its children roottasks which currtask its only parent task,0
dont set type its already set,0
int field numidclusters field fileidclusters length,0
store all host elements,0
test with output variable name,0
process requested command,0
check lock file presence,0
explicit reference these vars symbols,0
otherwise use text xml default non nls,0
variable arity parameter jls,0
isset collection isset issorted collection issorted,0
gather all methods with matching name and parameter size,0
sets cellstyle that applies given based column,0
need output our pending code block,0
define allocation rectangle starty used compensate different start point printing shall not start from top,0
debug display,0
initialize state batch,0
sid length bof flags str len unicode flag string data,0
make sure theres default database associated with each catalog,0
nothing hanlde future where may want add new state types,0
else return,0
change query fetchtask use new location specified results cache,0
very unlikely happen,0
not quite immutable see immutablepatternset,0
specifies interfaces implemented class specifies base class interface new one method variable points current instance method variable points base instance type comparator deprecated identifies property used create new instance class,0
must wss due scheme validation above,0
not modified file download just return instead and trace out something user doesnt think that download happened when didnt,0
note all fields are final rehash creates new entries when necessary documented java util concurrent concurrenthashmap java that will statistically affect only small percentage entries given rehash,0
null child could occur from clause filter,0
deterministic ease testing,0
fall back jre bin directory also catches jdk and where java home points root jdk and mac where whole directory layout different from suns,0
file persister uml model todo this empty what its purpose ? tfm author bob tarling,1
getactioncontext method,0
walk over all sources which are guaranteed reduce sink operators,0
ensure theres threadlocal dont expect one dont ever want create key paths with world visibility why that even option ? ! !,1
need this use securerandom,0
grab text and tabs text run way that preserves ordering,0
have not checked excel know this libreoffice poi problem,0
get and this branch,0
log color,0
index number format record bytes length,0
only backwards compatibility,0
always start running state requests state updates will sent out after registration,0
emptyrolesemantic permit transportguarantee none new string,0
this should never called with network buffer that contains data can clear here,0
checkpermissions returns false query not found throws failure,0
forget cached position instance,0
get table objects this batch table names and get iterator,0
init channel,0
reason phrase optional but space before not skip sending reason phrase clients should ignore rfc and just wastes bytes,0
mergecount,0
close client session,0
column stats hivecolstats might not same order columns reorder hivecolstats can build hivecolstatsmap using below,0
short cut only has been set,0
using volatile invariant allows initialize fastclass and method index pairs atomically double checked locking safe with volatile java before this code could allow fastclassinfo instantiated more than once which appears benign,0
multiply vector matrix and then matrix transposed,0
doforwardsearch method,0
assigned shared heap memory,0
specific attributes transformer,0
only one mbean,0
end cached result structures,0
pushed whole thing down,0
string variable,0
fixme byte array properties not yet implemented assertequals dsi getdocparts,1
add default thresholds,0
clone and map,0
not check there stroke defined specified key,0
